filename	deduplication_percentage	marker
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1_1	70.64113893712687	ENCODE_PE
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1_2	73.23786840140492	ENCODE_PE
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1_1	69.15967362198207	ENCODE_PE
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1_2	71.39429237808818	ENCODE_PE
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1_1	78.51318146039232	ENCODE_PE
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1_2	81.58328664216	ENCODE_PE
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1_1	75.63219006924372	ENCODE_PE
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1_2	78.48240334750962	ENCODE_PE
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1_1	75.405260929943	ENCODE_PE
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1_2	77.98547867348651	ENCODE_PE
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1_1	80.02979457744543	ENCODE_PE
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1_2	82.32659876963899	ENCODE_PE
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1_1	73.28709597819302	ENCODE_PE
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1_2	75.7823240486854	ENCODE_PE
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1_1	69.48734016981587	ENCODE_PE
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1_2	72.2538762259418	ENCODE_PE
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1_1	59.04625338371141	ENCODE_PE
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1_2	63.16466730387387	ENCODE_PE
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1_1	61.77586732195904	ENCODE_PE
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1_2	61.083851803546594	ENCODE_PE
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1_1	51.17913174336687	ENCODE_PE
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1_2	55.992723031925216	ENCODE_PE
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1_1	51.07010755288485	ENCODE_PE
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1_2	55.81679634301431	ENCODE_PE
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1_1	71.21960888438696	ENCODE_PE
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1_2	74.51955326256173	ENCODE_PE
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1_1	71.00863032348134	ENCODE_PE
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1_2	74.25721373922643	ENCODE_PE
