file	total_reads	rupn	rup	peak_length	enrichment
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL.result	75332092	9696695	.128	27322437	27.505
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK.result	72982207	8687350	.119	24976971	26.7
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR.result	71027036	12146584	.171	33236845	29.725
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC.result	73423085	6976648	.095	20879460	25.01
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW.result	68048651	12646065	.185	34857973	30
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE.result	73870929	15782166	.213	38820041	34.76
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC.result	49286965	9289120	.188	29198875	26.455
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN.result	68180473	18615202	.273	44497697	38.645
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD.result	57925249	10924951	.188	33129994	27.385
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF.result	68215716	13224768	.193	37744385	29.23
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE.result	56578028	13914934	.245	39171221	31.655
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH.result	55547264	17287396	.311	42527959	39.64
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW.result	65839703	24697007	.375	48717974	54.38
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK.result	53450778	12316201	.230	34405163	31.335
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH.result	114931323	15045060	.130	33298795	35.02
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR.result	63680705	6535977	.102	21837465	22.57
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ.result	72384210	8944392	.123	26498134	26.02
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV.result	73123730	9195929	.125	27322900	25.99
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ.result	59334854	8516058	.143	26379794	25.465
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX.result	57615727	8076330	.140	25086080	25.315
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC.result	68373537	12111685	.177	33420111	29.69
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK.result	81585655	16273855	.199	37889828	36.095
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP.result	63139148	9494091	.150	29150065	25.875
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ.result	107831355	18335116	.170	37881954	39.255
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP.result	83391985	17672209	.211	39758293	37.895
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ.result	78798931	16823341	.213	40645924	35.365
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET.result	79183010	19794873	.249	44698276	39.59
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC.result	75174584	17146964	.228	40398042	36.975
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB.result	62264430	11455563	.183	28220336	33.565
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA.result	54019282	8120317	.150	22903545	28.235
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR.result	55844760	7666463	.137	27003245	22.235
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK.result	64317866	9195809	.142	29894785	24.205
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL.result	59116174	10433913	.176	33458246	25.515
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX.result	51764621	5861890	.113	23037621	19.415
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB.result	47617491	7460990	.156	20674852	28.965
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV.result	86120706	10572843	.122	21008966	38.825
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA.result	76289889	18426698	.241	23800321	69.03
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG.result	52601970	10257804	.195	20201430	42.745
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ.result	69800126	28951699	.414	37010363	89.895
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH.result	49277482	15315331	.310	28020389	53.52
mm10_lung_postnatal_PE_bio1_ENCLB080OEI.result	79339619	22730566	.286	42556191	50.27
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ.result	64251466	20441330	.318	41229307	48.875
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD.result	106564554	18682568	.175	37016385	41.2
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY.result	74747147	9861520	.131	26196694	29.285
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS.result	77913799	14176007	.181	36559919	31.885
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF.result	73446983	14172089	.192	35877894	32.93
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH.result	73963346	14627188	.197	34090621	36.02
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA.result	55590282	9858515	.177	28078600	28.82
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA.result	67518319	11798497	.174	31382615	30.71
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB.result	44336782	7160117	.161	23214798	24.88
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ.result	55551295	10757173	.193	29111189	30.92
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC.result	48454352	4962883	.102	17768187	21.095
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ.result	92956885	12597923	.135	29042532	33.865
mm10_stomach_postnatal_PE_bio2_ENCLB105JML.result	73177019	12368395	.169	30585729	32.845
